ecommerce_products
id;name;description;price;currency;image_url;tags;category;subcategory;brand;stock;rating;review_count;common_queries
dbce18d4-f2a7-4167-99cf-932bf508da73;Modern C Yan Sehpa - Siyah;Minimalist tasarımlı, koltuk yanına kolayca yerleştirilebilen C şeklinde yan sehpa.;249.9;TL;https://example.com/c-sehpa1.jpg;"[""c_sehpa"", ""yan_sehpa"", ""modern_mobilya"", ""minimalist"", ""siyah_sehpa""]";Mobilya;Sehpalar;ModernLine;25;4.7;156;"[""c sehpa sehpa"", ""c yan sehpa"", ""c sehpa yan sehpa""]"
eefbbd67-ff2e-4b08-9a4d-a8bae412b476;Ahşap Detaylı C Yan Sehpa;Metal gövde ve ahşap tablalı şık C sehpa. Koltuk yanı kullanım için ideal.;299.9;TL;https://example.com/c-sehpa2.jpg;"[""c_sehpa"", ""ahsap_sehpa"", ""metal_sehpa"", ""yan_sehpa"", ""modern_mobilya""]";Mobilya;Sehpalar;WoodLife;15;4.8;92;"[""ahsap sehpa"", ""detaylı c yan sehpa"", ""c sehpa sehpa""]"
b79fb431-b227-4f45-8ce6-0ce13fe5f7ea;Cam Tablalı C Yan Sehpa;Şeffaf temperli cam tabla ve krom metal gövdeli modern C sehpa.;349.9;TL;https://example.com/c-sehpa3.jpg;"[""c_sehpa"", ""cam_sehpa"", ""krom_sehpa"", ""modern_mobilya"", ""yan_sehpa""]";Mobilya;Sehpalar;GlassModern;20;4.6;78;"[""tablalı c yan sehpa"", ""c sehpa cam sehpa"", ""c sehpa sehpa""]"
787aabd3-defd-4a1d-9546-618cb6393c9e;Beyaz C Yan Sehpa;Mat beyaz boyalı, minimalist C sehpa. Her tarza uyumlu tasarım.;279.9;TL;https://example.com/c-sehpa4.jpg;"[""c_sehpa"", ""beyaz_sehpa"", ""minimalist"", ""yan_sehpa"", ""modern_mobilya""]";Mobilya;Sehpalar;ModernLine;30;4.5;124;"[""c yan sehpa"", ""c sehpa beyaz sehpa"", ""c sehpa sehpa""]"
83fc2047-cb47-46a3-ad02-2b86e0b3b89a;Gold C Yan Sehpa;Gold renk metal gövde ve siyah cam tablalı lüks C sehpa.;399.9;TL;https://example.com/c-sehpa5.jpg;"[""c_sehpa"", ""luks_sehpa"", ""gold_sehpa"", ""cam_tabla"", ""yan_sehpa""]";Mobilya;Sehpalar;LuxuryLine;10;4.9;45;"[""c yan sehpa"", ""c sehpa luks sehpa"", ""c sehpa sehpa""]"
b8a872a5-48d9-4c5f-9da1-274c4ca52762;Ayarlanabilir Kucak Sehpası - Siyah;Yüksekliği ayarlanabilir, tekerlekli kucak sehpası. Laptop ve tablet kullanımı için ideal.;189.9;TL;https://example.com/kucak1.jpg;"[""kucak_sehpasi"", ""laptop_sehpasi"", ""ayarlanabilir_sehpa"", ""tekerlekli_sehpa""]";Mobilya;Sehpalar;ComfortDesk;40;4.7;234;"[""kucak sehpasi sehpası"", ""kucak sehpası"", ""sehpalar sehpası"", ""kucak sehpasi laptop sehpasi""]"
2eecc25e-9ed7-4a32-9e5b-2df283236019;Ahşap Kucak Sehpası;Doğal ahşap malzemeden üretilmiş, hafif ve şık kucak sehpası.;159.9;TL;https://example.com/kucak2.jpg;"[""kucak_sehpasi"", ""ahsap_sehpa"", ""hafif_sehpa"", ""dogal_ahsap""]";Mobilya;Sehpalar;WoodLife;25;4.6;167;"[""kucak sehpasi sehpası"", ""kucak sehpası"", ""kucak sehpasi ahsap sehpa"", ""sehpalar sehpası""]"
ad8d54ce-6e20-4cde-82d4-e43ff0a1df79;Katlanabilir Kucak Sehpası;Kolay taşınabilir ve katlanabilir özellikli kompakt kucak sehpası.;129.9;TL;https://example.com/kucak3.jpg;"[""kucak_sehpasi"", ""katlanabilir_sehpa"", ""portatif_sehpa"", ""kompakt_sehpa""]";Mobilya;Sehpalar;SmartFurniture;50;4.5;312;"[""kucak sehpasi katlanabilir sehpa"", ""kucak sehpası"", ""sehpalar sehpası"", ""kucak sehpasi sehpası""]"
1fd70fa0-43ab-4a68-ad64-a0fcdbfe727c;Çok Fonksiyonlu Kucak Sehpası;Bardak tutucu ve tablet standı özellikli premium kucak sehpası.;219.9;TL;https://example.com/kucak4.jpg;"[""kucak_sehpasi"", ""cok_fonksiyonlu"", ""tablet_standi"", ""premium_sehpa""]";Mobilya;Sehpalar;MultiDesk;20;4.8;145;"[""kucak sehpasi sehpası"", ""fonksiyonlu kucak sehpası"", ""kucak sehpasi cok fonksiyonlu"", ""sehpalar sehpası""]"
c967aab7-b2e4-474b-8f78-dab67c132d30;Minimal Kucak Sehpası;Sade tasarımlı, hafif ve dayanıklı kucak sehpası.;149.9;TL;https://example.com/kucak5.jpg;"[""kucak_sehpasi"", ""minimal_sehpa"", ""hafif_sehpa"", ""sade_tasarim""]";Mobilya;Sehpalar;ModernLine;35;4.4;189;"[""kucak sehpasi sehpası"", ""kucak sehpası"", ""sehpalar sehpası"", ""kucak sehpasi minimal sehpa""]"
